iter	RMSE
0	72410.74096
1	67901.66459
2	64432.24171
3	60553.73135
4	57007.5936
5	54062.02151
6	51229.70907
7	48853.38045
8	46624.14353
9	44747.74033
10	43017.41445
11	41255.03221
12	39591.08357
13	38213.16934
14	36886.31826
15	35712.00025
16	34588.06798
17	33568.90278
18	32653.24238
19	31714.69372
20	30880.82928
21	30029.93827
22	29200.86802
23	28433.30702
24	27879.80697
25	27408.33519
26	26861.30198
27	26775.38471
28	26617.43543
29	26215.0168
30	25831.12352
31	25740.81514
32	25613.11139
33	25161.71337
34	24731.50744
35	24372.13738
36	24297.22168
37	24239.87766
38	23877.81458
39	23592.42742
40	23509.30167
41	23198.95615
42	22899.64776
43	22643.96298
44	22401.15133
45	22152.68723
46	21906.6302
47	21648.61924
48	21410.90166
49	21245.9901
50	21098.40223
51	21016.47714
52	20956.54186
53	20775.07919
54	20742.9289
55	20680.41989
56	20627.53237
57	20443.84602
58	20393.54099
59	20348.13801
60	20133.77977
61	20069.65999
62	19812.57617
63	19633.04589
64	19452.39024
65	19335.23203
66	19282.50611
67	19104.57547
68	18941.58141
69	18797.53936
70	18602.48576
71	18543.57585
72	18496.82908
73	18450.8707
74	18282.62339
75	18243.44434
76	18053.37616
77	17899.58991
78	17712.13523
79	17661.41816
80	17616.8914
81	17577.56399
82	17433.03081
83	17382.58534
84	17344.55284
85	17302.40474
86	17166.80241
87	17033.48822
88	16999.19896
89	16957.92738
90	16923.22769
91	16782.79209
92	16674.86719
93	16526.63048
94	16385.92946
95	16354.04134
96	16324.07958
97	16176.35284
98	16013.94121
99	15924.55439
