iter	Passed	Remaining
0	159	15772
1	168	8267
2	178	5769
3	187	4492
4	196	3733
5	205	3214
6	214	2843
7	222	2559
8	231	2338
9	239	2159
10	248	2013
11	258	1893
12	268	1795
13	278	1710
14	288	1636
15	301	1583
16	311	1520
17	321	1462
18	330	1409
19	340	1360
20	350	1317
21	359	1275
22	368	1233
23	378	1197
24	389	1167
25	399	1136
26	408	1105
27	418	1075
28	427	1046
29	436	1019
30	445	992
31	454	966
32	463	941
33	473	918
34	482	895
35	491	873
36	500	851
37	510	832
38	519	813
39	529	794
40	539	777
41	550	760
42	561	743
43	570	726
44	579	708
45	589	691
46	598	675
47	607	658
48	617	642
49	626	626
50	635	610
51	644	594
52	652	578
53	662	564
54	671	549
55	680	535
56	690	520
57	700	507
58	709	493
59	719	479
60	728	465
61	738	452
62	748	439
63	757	426
64	766	412
65	776	399
66	785	386
67	793	373
68	802	360
69	811	347
70	820	335
71	829	322
72	838	310
73	847	297
74	856	285
75	866	273
76	875	261
77	885	249
78	896	238
79	906	226
80	917	215
81	928	203
82	938	192
83	947	180
84	958	169
85	967	157
86	978	146
87	989	134
88	999	123
89	1009	112
90	1019	100
91	1030	89
92	1040	78
93	1050	67
94	1065	56
95	1076	44
96	1085	33
97	1096	22
98	1106	11
99	1116	0
